15-10-7 下午5:03
项目统计

     	   片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	85058	357064	3054896	3357899	  1870	
剩余：  	71733	336795	2932578	3228446	  1870	
独特：  	42566	270601	2279580	2537858	  1870	
剩余独特：	42381	268752	2268528	2525019	  1870	


单文件统计：

文件名                                                       	 总片段	剩余片段	独特片段	剩余独特片段	 总计词汇	 剩余词汇	 独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
console/rawkey.html                                       	  39	  30	  11	    11	  168	  156	   79	    79	    1354	     1279	      484	        484	    1526	     1448	      557	        557	
console/readconsoledata.html                              	  58	  49	  41	    41	  296	  284	  275	   275	    2379	     2306	     2189	       2189	    2640	     2564	     2445	       2445	
console/writeconsoledata.html                             	  23	  16	   9	     9	   91	   81	   67	    67	     570	      511	      386	        386	     640	      578	      446	        446	
database/AffectedDatabaseRows.html                        	  21	  14	  10	    10	   51	   41	   27	    27	     489	      430	      308	        308	     521	      459	      327	        327	
database/CheckDatabaseNull.html                           	  40	  32	  27	    27	  148	  137	  131	   131	    1280	     1214	     1168	       1168	    1394	     1325	     1276	       1276	
database/closedatabase.html                               	  25	  16	  12	    12	   69	   57	   53	    53	     644	      573	      508	        508	     690	      616	      551	        551	
database/DatabaseColumnIndex.html                         	  32	  25	  14	    14	  103	   93	   79	    79	    1001	      942	      749	        749	    1076	     1014	      818	        818	
database/databasecolumnname.html                          	  24	  17	   9	     9	   55	   45	   31	    31	     574	      515	      388	        388	     609	      547	      414	        414	
database/databasecolumns.html                             	  23	  16	   8	     8	   58	   48	   37	    37	     645	      586	      440	        440	     684	      622	      473	        473	
database/databasecolumnsize.html                          	  25	  18	   8	     8	   79	   69	   53	    53	     677	      618	      449	        449	     735	      673	      498	        498	
database/databasecolumntype.html                          	  34	  27	  15	    15	  129	  119	  103	   103	    1066	     1007	      831	        831	    1174	     1112	      930	        930	
database/databasedriverdescription.html                   	  27	  18	  13	    13	   60	   48	   43	    43	     766	      695	      592	        592	     804	      730	      627	        627	
database/databasedrivername.html                          	  27	  18	   8	     8	   62	   50	   26	    26	     759	      688	      354	        354	     799	      725	      377	        377	
database/databaseerror.html                               	  31	  22	  14	    14	   91	   79	   72	    72	    1008	      937	      803	        803	    1082	     1008	      874	        874	
database/databaseid.html                                  	  18	  12	   7	     7	   56	   48	   40	    40	     445	      393	      321	        321	     487	      433	      358	        358	
database/databasequery.html                               	  60	  51	  28	    28	  295	  283	  231	   231	    2364	     2291	     1747	       1747	    2619	     2543	     1965	       1965	
database/databaseupdate.html                              	  44	  35	  16	    16	  199	  187	  119	   119	    1646	     1573	      949	        949	    1816	     1740	     1064	       1064	
database/examinedatabasedrivers.html                      	  25	  16	   7	     7	   68	   56	   41	    41	     731	      660	      443	        443	     779	      705	      482	        482	
database/finishdatabasequery.html                         	  32	  23	   6	     6	   99	   87	   30	    30	    1089	     1018	      340	        340	    1171	     1097	      367	        367	
database/firstdatabaserow.html                            	  29	  21	   9	     9	   80	   69	   54	    54	     853	      787	      562	        562	     908	      839	      611	        611	
